status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
245490814316_10155242990944317,G30_SPKI kejam,Muhhamadali Mutrisno,,status,,2017-09-29 22:01:52,7,1,0,7,0,0,0,0,0,0
245490814316_10150687145379317,i love PKI,Awang Revo Amanda,,status,,2012-04-16 03:24:34,8,24,0,2,1,0,0,0,5,0
245490814316_10155262096324317,,Gisell Wataimpoli,The Naked Marshmallow Co.,link,https://nakedmarshmallow.co.uk/product-category/christmas/,2017-10-07 14:36:39,1,0,0,1,0,0,0,0,0,0
245490814316_10155253727914317,"KETIKA JENDERAL AH NASUTION MENUMBANGKAN REZIM SOEKARNO
 
Adalah salah kaprah, jika menganggap bahwa Soeharto lah yang menggulingkan Soekarno. 

Jika melihat fakta sejarah, Jenderal Besar Abdul Haris Nasution adalah orang yang paling berperan dalam menjatuhkan Soekarno dari jabatan-nya Presiden Seumur Hidup.

Saat tragedi G30S/PKI, AH Nasution (sapaan akrab beliau) menjabat sebagai Menteri Pertahanan dan Keamanan serta menjabat Kepala Staff Angkatan Bersenjata.

Dia adalah target utama yang harus dihilangkan, kegagalan Cakrabirawa membunuhnya adalah awal serangan balik yang maha dashyat untuk Soekarno dan Dewan Revolusi.

Nasution adalah salah satu Jenderal Angkatan Darat (AD) yang terpaksa setuju pada perintah Soekarno untuk menyerang Malaysia. 

Sebagian besar Jenderal AD menolaknya.
Mereka tak mau nyawa prajurit AD digadaikan untuk ambisi pribadi Soekarno. 

Apalagi dalam perang tersebut, Ada upaya penyebaran faham komunisme oleh PKI dan menyokong Partai Komunis Malaysia.

Para relawan yang disusupkan juga dipersenjatai dengan senjata kiriman dari negara komunis, yang nantinya bakal diusulkan oleh DN Aidit untuk jadi angkatan kelima.

Nasution berhasil lolos dengan luka di kaki.
Dari tempat persembunyianya, dia meraba-raba korps pasukan yang setia padanya. 

Ketemulah Soeharto yang menjawab Panglima Kostrad (Pangkostrad).

Namun pada masa itu jabatan Panglima Komando Strategis Cadangan Angkatan Darat tidak membawahi pasukan, berbeda dengan sekarang. 

Soeharto dengan cerdik memanggil komandan RPKAD (Kopassus) Sarwo Edhie dan meminta kesetiaan-nya dan pasukan-nya.

Setelah memiliki pasukan dan kelengkapan-nya, Soeharto meminta Nasution untuk datang ke markas Kostrad. 

Di sinilah Nasution kali pertama mendapat perawatan atas luka-lukanya dan melancarkan serangan balik.

Sebagai Menteri Pertahanan dan Keamanan.
Nasution memberi perintah pada Soeharto untuk menjaga kesiagaan pasukan Angkatan Darat sembari menyusun serangan balasan.

Ketika Dewan Revolusi diumumkan dari markas TNI AU di Halim. Nasution adalah orang pertama yang membangkang.

Dari Halim atas nama Dewan Revolusi, Soekarno langsung menunjuk Mayjen Pranoto Reksosamodra, sebagai Panglima Angkatan Darat. 

Mengetahui ini, Nasution segera mengamankan Pranoto di Markas Kostrad, dia dibrifing agar tidak menerima jabatan ini.

Menyadari bahwa kekuatan Angkatan Darat saat itu hanya prajurit RPKAD, jumlah kostrad sendiri saat itu tak memiliki personel prajurit. 

Nasution meminta bantuan Panglima Angkatan Laut, RE Martadinata.

Gabungan prajurit RPKAD dan KKO sukses memukul balik gerakan G30S dan memaksa Presiden Soekarno pulang ke istana negara.
Membubarkan Dewan Revolusi.

Nama Nasution, berkibar hati rakyat Indonesia saat, melebihi Soeharto. 

Di saat bersamaan dia berduka atas kematian putranya.

Dalam beberapa minggu pertama setelah G30S, Nasution-lah yang terus-menerus melobi Soekarno untuk menunjuk Soeharto sebagai Panglima Angkatan Darat. 

Soekarno, yang setelah 1 Oktober tetap menginginkan Pranoto sebagai pimpinan angkatan darat, awalnya dia ingin menjadikan Soeharto hanya sebagai Panglima Kopkamtib, tetapi dengan lobi terus-menerus yang dilakukan Nasution, Soekarno akhirnya dibujuk dan pada tanggal 14 Oktober 1965, ditunjuklah Soeharto sebagai Panglima Angkatan Darat.

Soekarno sebenarnya memahami sepak terjang Nasution, untuk mengebiri langkahnya, dia menawarkan posisi wakil presiden.

Nasution pintar, melalui Soeharto, Pada awal 1966 mengeluarkan pernyataan yang mengatakan bahwa tidak ada kebutuhan untuk mengisi kursi wakil presiden yang kosong.

Nasution dengan cerdik, dia membidik kursi ketua MPRS. 

Tujuanya satu, Agar bisa  menumbangkan Soekarno, agar penderitaan rakyat berakhir.

Soekarno telah diangkat oleh MPRS sebagai presiden seumur hidup, maka hanya MPRS saja yang bisa melengserkan-nya.

Setelah Soeharto menerima supersemar (Surat Perintah Sebelas Maret) dari Soekarno. 

Nasution menyadari bahwa Supersemar tidak hanya memberikan kekuasaan darurat kepada Soeharto tetapi juga memberinya kontrol eksekutif.

Nasution menyarankan kepada Soeharto bahwa ia berhak membentuk kabinet darurat. Menggantikan kabinet yang pro PKI dan pro Soekarno. 

Soeharto, masih hati-hati tentang apa yang dia bisa atau tidak bisa lakukan dengan kekuatan barunya, karena pembentukan kabinet adalah tanggung jawab presiden.

Nasution mendorong Soeharto, berjanji untuk memberikan dukungan penuh.

Tanggal 18 Maret 1966, Soeharto menangkap Chaerul Saleh, Ketua MPRS dan anggota MPRS yang dianggap pro PKI. Sebagai gantinya dibentuk MPRS pengganti.

MPRS yang baru pun bersidang, dan Nasution terpilih sebagai ketua secara aklamasi. 

Dengan cerdik, pada tgl 21 Juni 1966 Nasution dan MPRS meratifikasi Supersemar. Dengan keputusan ini, berarti Soekarno dilarang menariknya kembali.

Pada tgl 22 Juni,  Soekarno mencoba melawan dengan menyampaikan pidato berjudul Nawaksara (Sembilan butir) di depan sidang MPRS.

Namun Nasution bergeming, bahwa Supersemar tidak boleh dicabut atau ditarik kembali.

Selama dua minggu ke depan, Nasution sibuk memimpin Sidang Umum MPRS. 

Di bawah kepemimpinannya, MPRS mengambil langkah-langkah seperti melarang paham Marxisme-Leninisme, mencabut keputusan Soekarno sebagai presiden seumur hidup, dan memerintahkan pemilihan legislatif yang akan diselenggarakan pada bulan Juli 1968.

Sidang Umum MPRS juga meningkatkan kekuasaan Soeharto dengan secara resmi memerintahkan-nya untuk merumuskan kabinet baru. 

Sebuah keputusan juga disahkan yang menyatakan bahwa jika presiden tidak mampu melaksanakan tugasnya, ia kini akan digantikan oleh pemegang Supersemar, bukan wakil presiden. 

Inilah kenapa Nasution dulu, Ogah diangkat jadi Wapres, dengan jadi ketua MPRS  dia bisa menumbangkan Soekarno.

Tahun 1966 pun berlalu, Soekarno semakin defensif dan popularitasnya di kalangan rakyat Indonesia semakin menurun. 

Jika Soeharto masih berbelas kasihan pada Bung Karno seperti membelanya di hadapan demonstran rakyat.  Tidak dengan Nasution, 
Soekarno harus segera diganti.

Nasution menyatakan bahwa : Soekarno harus bertanggung jawab atas situasi buruk yang melanda pemerintahan dan masyarakat Indonesia pada saat itu. 

Nasution juga menyerukan, Agar Soekarno dibawa ke pengadilan.

Pada 10 Januari 1967, Nasution dan MPRS bersidang lagi dan Soekarno menyerahkan laporannya (dia tidak menyampaikan hal itu secara pribadi sebagai pidato) yang diharapkan bisa mengatasi masalah G30S. 

Diberi judul “Pelengkap Nawaksara”.

Salah satu poinya jika dirinya (Soekarno) akan disalahkan atas G30S, Menteri Pertahanan dan Keamanan pada saat itu (Nasution) juga harus disalahkan karena tidak melihat G30S datang dan menghentikannya sebelum terjadi. 
Tentu saja laporan ini, Sekali lagi ditolak oleh MPRS yang dipimpin Nasution.

Nasution memberi selamat kepada Jenderal Soeharto atas pengangkatannya sebagai acting presiden, 12 Maret 1967.

Pada bulan Februari 1967,  DPR-GR menyerukan Sidang Istimewa MPRS pada bulan Maret untuk mengganti Soekarno dengan Soeharto. 

Soekarno tampaknya pasrah akan nasibnya, akhirnya pada 12 Maret 1967, Soekarno secara resmi dicabut mandatnya sebagai Presiden oleh MPRS. 

Nasution kemudian menyumpah Soeharto ke tampuk kekuasaan sebagai pejabat presiden.

Setahun kemudian pada 27 Maret 1968, Nasution memimpin pemilihan dan pelantikan Soeharto sebagai Presiden penuh.

Setelah kemenangan-nya menumbangkan kediktatoran Soekarno. Jendral Nasution pelan-pelan menarik diri dari urusan Politik di era Presiden Soeharto.

Baginya, perjuangan telah usai,
Membebaskan rakyat Indonesia dari cengkeraman diktator bernama Soekarno.

",Agus Widianto,AH Nasution Jenderal Yang Menumbangkan Rezim Soekarno,link,http://militermeter.com/ah-nasution-jenderal-yang-menumbangkan-rezim-soekarno/,2017-10-04 08:35:55,12,0,2,9,1,1,0,1,0,0
245490814316_10155240308539317,Jasmerah,Ahmad Mursid Ahmad Mursid,,photo,https://www.facebook.com/photo.php?fbid=1727649523936705&set=gm.10155240308539317&type=3,2017-09-29 00:24:11,6,0,0,6,0,0,0,0,0,0
245490814316_10155240033589317,,Satrio Piningit,,status,,2017-09-28 20:43:47,3,0,0,3,0,0,0,0,0,0
245490814316_10155237923664317,,Satrio Piningit,,status,,2017-09-28 01:03:00,7,0,1,7,0,0,0,0,0,0
245490814316_10150763649769317,"Bunuh PKI, hati2 pki masih ada diskitar kita!",Ahmad Mursid Ahmad Mursid,,status,,2012-05-05 09:24:27,10,5,0,10,0,0,0,0,0,0
245490814316_10155225829184317,"Ayo kita sama"" hilangkan PKI dari indonesia!!!!",Muhammad Vito,,status,,2017-09-23 08:41:29,9,1,0,7,2,0,0,0,0,0
245490814316_10155226066354317,PKI harus di musnahkan,Shanks Rayleight,,status,,2017-09-23 10:06:34,7,2,0,5,2,0,0,0,0,0
