status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1590935691169559_1919572634972528,"Dari fb Fauzi Raif :
SANG PENGKHIANAT BANGSA

Ibu Pertiwi kembali menangis ketika mengungkapkan semua ini..

Informasi A1 yang telah kami terima, jenderal Luhut adalah dalang dibalik masuknya imigran ilegal asal China, #valid

Luhut Binsar Pandjaitan adalah 'pengkhianat' di lingkungan istana, Dubes Singapura adalah kunci, dan semua proyek besar Jokowi sebagai pintu

Dari proyek listrik dengan menggunakan jasa TKA ilegal dari China sebagai sebuah kesepakatan proyek

LBP sebagai Dubes Singapura memiliki kesepakatan diam diam dengan MSS dan Lee kuan Yew, menjadikan Indonesia target seperti singapura

Proyek reklamasi, proyek listrik 35.000 MW, kereta cepat Jakarta Bandung adalah buah kesepakatan, indo China 2025

Semua sudah disiapkan ketika LBP menjabat Dubes Singapura, man of the match

Lihatlah siapa yang paling reaktif ketika proyek proyek dengan China disorot negatif, #LBP

Lihatlah ketika proyek reklamasi terancam dihentikan, siapa yang tampil pasang badan?, #LBP

Lihatlah ketika proyek listrik 35.000 MW memakai alat dari China, siapa yang mengusulkan?, #LBP

Lihatlah siapa yang pasang badan membela Ahok pertama kali, kalau bukan #LBP

Siapa yang berhasil mensetting partai Golkar dengan setnov papa minta saham, kalau bukan #LBP

#LBP menjadi pihak paling membahayakan bagi negeri ini, Singapura dan kepentingan China

Buka mata kalian, proyek listrik dengan melibatkan TKA ilegal dari China adalah perusahaan milik #LBP, #tobapower

PLN dicengkeram oleh perusahaan energi milik #LBP, dan memakai TKA ilegal asal China sebagai buah kesepakatan proyek

Ingat kasus dua tentara China yg ketangkap di Halim terkait proyek kereta cepat, siapa yg mengurus dan bebaskan? #LBP

Ayolah buka mata kalian sekali lagi, Toba power adalah perusahaan yang dipilih sebagai penyedia listrik untuk pulau pulau reklamasi, #LBP

Buang kotoran dalam kuping tuli kalian, #LBP sudah taklukan PLN demi Bancakan perusahaan miliknya, Singapura dan China miliki #LBP

Singapura 'menugaskan' LBP ketika menjadi Dubes untuk 'jual' Indonesia kedepannya, pulau reklamasi pintu masuk imigran ilegal dari China

Singapura sudah overlimit, dan China Singapura seperti Lee kuan Yew melihat Indonesia kunci selanjutnya koloni koloni china

Dan tebak tuips, penugasan dari singapura itu dimulai bersamaan dengan jatuhnya pemerintahan soeharto, #dubes

Bersiaplah kalian, LBP yg dulu memiliki ide pendirian Badan Cyber Nasional, adalah pihak dibalik kecurangan IT KPU

Semua dimana mana ada nama Luhut Binsar Pandjaitan, apa kalian buta dia lah yang mengatur permainan, #pengkhianat

Jokowi tidak punya kendali sebesar apa yang dimiliki oleh LBP, Singapura dan China

Berikut info terkait #LBP

#LBP adalah orang dibalik penangkapan Dahlan Iskan, karena DI mengetahui 'daleman' PLN, dan #pesaing bisnis di PLN, LBP vs DI

#LBP adalah pemilik perusahaan Toba power, sebuah perusahaan penanggungjawab listrik di pulau pulau reklamasi, rekanan PLN

Skandal LBP dengan Soemarno clan untuk menyingkirkan mafia sekelas MRC dibisnis mafia energi, #persaingan

#LBP dengan TKA ilegal dan imigran ilegal (turis) adalah Mou kesepakatan proyek listrik 35.000 M, dimana China memiliki dominasi tunggal",Addy Priv,,photo,https://www.facebook.com/photo.php?fbid=282492952256564&set=gm.1919572634972528&type=3,2017-10-13 11:18:31,3,0,0,3,0,0,0,0,0,0
1590935691169559_1919484768314648,,Baron Setiabudi,,status,,2017-10-13 07:03:59,0,0,0,0,0,0,0,0,0,0
1590935691169559_1919479224981869,,Baron Setiabudi,,status,,2017-10-13 06:49:21,1,0,0,1,0,0,0,0,0,0
1590935691169559_1919079198355205,"""Mengungkap Rencana 'Penyanderaan' Kasus Terhadap Gubernur DKI Terpilih 2017"" by @Ronin016 

https://chirpstory.com/li/371422

Malam ini kami akan ungkap ratas rahasia minggu siang antara sejumlah pihak membahas rencana penyanderaan kasus kepada gubernur baru DKI 

1. Ada pertemuan ratas rahasia dihadiri perwakilan dari KSP, kantor menko kemaritiman serta sejumlah pihak terkait posisi gubernur DKI baru 

2. Pertemuan Minggu menjelang siang sehabis acara main golf, ada ratas rahasia membahas kasus yg akan menyandera gubernur dan wagub DKI baru 

3. Semua terkait penyelamatan proyek reklamasi kedepannya versus kepemimpinan di DKI Anies Baswedan dan Sandiaga Uno 

4. Menurut sumber kami, pembahasan menyeret pada soal kasus apa yang akan dipakai untuk menyandera pemimpin baru DKI tersebut

5. Kasus alat kesehatan dan melibatkan korporasi PT DGI yang menyeret nama Sandiaga Uno akan kembali dinaikkan oleh KPK 

6. Pun dengan kasus proyek VSAT yang menyeret nama adik Anies Baswedan di Bareskrim polri akan dicoba kembali dinaikkan 

7. Ada tim khusus yang bertugas menginventarisasi kasus kasus yang bisa menyandera kepada diri Anies Baswedan ataupun Sandiaga Uno

8. Pada sisi mana, serangan pembusukan dan penggiringan opini negatif bisa tercipta kepada pemimpin DKI tersebut

9. Intinya adalah pada nilai bargaining untuk menyandera kedua pemimpin baru DKI agar ikut melancarkan proyek reklamasi

10. Proyek reklamasi adalah proyek dengan pertaruhan nilai ratusan triliun serta sudah di iklankan di Singapura, Beijing dan Shanghai

11. Operasi pembusukan dan penciptaan opini negatif kepada pemimpin baru DKI tidak baku berpatokan sampai 16 Oktober 2017

12. Agendanya mnyerang scara psikis dan nama baik personal, hingga akhirnya ada pnawaran brupa ksepakatan tkait proyek reklamasi dilanjutkam

13. Pertemuan ratas rahasia Minggu siang tadi pagi juga membagi tugas beberapa tim termasuk bagian menciptakan opini (media)

14. Inti pokok tujuannya adalah menyandera pmimpin baru DKI sesuai dengan agenda yg dimiliki pusat dan para taipan sampai 5 tahun kedepannya

15. Poin lainnya adlh kalimat 'menyesuaikan' antara harapan pusat dgn keinginan gubernur dan wagub DKI baru

Agar proyek reklamasi berjalan

16. Menyesuaikan sesuai keinginan Gubernur dan Wagub DKI yang baru

Tetapi tetap proyek reklamasi berjalan

17. Akal bulus ini demi menutupi fakta sebenarnya yaitu

Tekanan ancaman sandera kasus yang diciptakan

18. Akan ada tim yang secara khusus mdatangi Gubernur dan wagub DKI baru, dgn mmbuka gambaran jelas apa-apa yg akan trjadi bila proyek batal

19. Solusinya pun diberikan, yaitu dengan kalimat seolah ada 'menyesuaikan' keinginan Gubernur dan Wagub DKI baru terkait proyek reklamasi

20. Intinya mereka akan bergerak cepat, satu sisi menyiapkan alat dan perangkat kasus apa yg akan dipakai untuk sandera

21. Disisi lain, mereka akan tampil layaknya tim negosiator untuk nota kesepahaman terkait prsetujuan Gubernur baru terkait proyek reklamasi

22. Semua alat dan sumber daya akan dipakai, termasuk gunakan KPK dan kepolisian untuk lakukan pengolahan bahan kasus yg bisa menyandera

23. Proyek reklamasi bukan hanya bicara uang tetapi juga soal suksesi kepemimpinan 2019

Itu mandek atau batal maka suksesi pun terancam

24. Bukan hanya melibatkan kepentingan taipan tetapi juga melibatkan kepentingan dan agenda internasional (China dan Singapura)

25. LBP selaku mantan Dubes Singapura serta untuk suksesi Jokowi 2019, tentu bertanggungjawab agar proyek sarat kepentingan itu bisa jalan

26. Mnggunakan alat pukul dan sandera sprt KPK ataupun penegak hukum lain adlh hal yg sangat mungkin terjadi

Tentu dgn intervensi kekuasaan

27. Tim negosiator yang akan berjumpa dengan Gubernur baru tentu membawa banyak bahan untuk menyandera kedepannya

28. Tinggal ditunggu respon serta reaksi dari Gubernur dan Wagub DKI yg baru

Apakah akan ikuti atau tetap melawan dengan prinsip kebenaran

29. Bagi semua kepala direpublik ini, adanya ratas rahasia ini memberi bukti bahwa pemilik kekuasaan saat ini adlh antek cukong

30 yang bersedia menggadaikan rasa nasionalisme diri demi suksesi 

Pengkhianat negeri sedang memimpin RI 

Ibu Pertiwi makin mratapi nasib negeri

Ketika pemimpin negeri yg baik harus hadapi ancaman dari para pengkhianat negeri

Sandera kasus diri",Addy Priv,"""Mengungkap Rencana 'Penyanderaan' Kasus Terhadap Gubernur DKI Terpilih 2017"" by @Ronin016",link,https://chirpstory.com/li/371422,2017-10-12 04:32:25,7,2,0,7,0,0,0,0,0,0
1590935691169559_1919010445028747,,Iyex Malmsteen,,status,,2017-10-11 23:28:30,1,0,0,1,0,0,0,0,0,0
1590935691169559_1919007448362380,,Abinya Lu'ay N Asma',,status,,2017-10-11 23:17:53,0,0,0,0,0,0,0,0,0,0
1590935691169559_1918369228426202,"Ternyata... ohhh ternyataaa..
Wajar saja jika Panglima Marah... 😮😮
",Widya Putri,TNI: Amunisi Pelontar Granat Milik Brimob Ternyata Lebih Mematikan dari Milik TNI,link,https://nusantaranews.co/tni-amunisi-pelontar-granat-milik-brimob-ternyata-lebih-mematikan-dari-milik-tni/,2017-10-10 04:51:04,4,0,0,4,0,0,0,0,0,0
1590935691169559_1917297868533338,"Yang Nyata Di Lupakan ..
Hayalan Di Budayakan ..
Haus Akan Sejarah Negara Sendiri Itu Yang Aku Harapkan,Mungkin Sejarah Kau Anggap Hanya Sebagai Cerita Di Masa Lalu!
Namun Ingatlah! SEJARAH BISA TERULANG KEMBALI.
JAS MERAH!
Lihatlah Di Gedung-Gedung Sana! Tunas-Tunas Sudah Mulai Berubah Menjadi Pucuk Yang Nantinya Menjadi Kembang Dan Berbuah KEHANCURAN!
  Menjaga Keutuhan IDEOLOGI PANCASILA Adalah Salah Satu Upaya Membebaskan Negara Dari Rongrongan Orang-Orang Yang Haus Akan Kekuasaan.
Salam Perdamaian.",Ras Acong Nesta Marley,,status,,2017-10-07 05:29:37,3,0,1,3,0,0,0,0,0,0
1590935691169559_1917215148541610,,Iyex Malmsteen,,status,,2017-10-07 00:18:53,3,0,0,3,0,0,0,0,0,0
1590935691169559_1916714985258293,"Izin share sob,,sampaikan smpai   kepada yg berwenang,,,",Regy Chandra,,photo,https://www.facebook.com/photo.php?fbid=1724830907579659&set=gm.1916714985258293&type=3,2017-10-06 01:07:28,2,0,0,2,0,0,0,0,0,0
